kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov
110101,Bakongan,1101,KABUPATEN ACEH SELATAN,11,ACEH
110102,Kluet Utara,1101,KABUPATEN ACEH SELATAN,11,ACEH
110103,Kluet Selatan,1101,KABUPATEN ACEH SELATAN,11,ACEH
110104,Labuhan Haji,1101,KABUPATEN ACEH SELATAN,11,ACEH
110105,Meukek,1101,KABUPATEN ACEH SELATAN,11,ACEH
110106,Samadua,1101,KABUPATEN ACEH SELATAN,11,ACEH
110107,Sawang,1101,KABUPATEN ACEH SELATAN,11,ACEH
110108,Tapaktuan,1101,KABUPATEN ACEH SELATAN,11,ACEH
110109,Trumon,1101,KABUPATEN ACEH SELATAN,11,ACEH
110110,Pasi Raja,1101,KABUPATEN ACEH SELATAN,11,ACEH
110111,Labuhan Haji Timur,1101,KABUPATEN ACEH SELATAN,11,ACEH
110112,Labuhan Haji Barat,1101,KABUPATEN ACEH SELATAN,11,ACEH
110113,Kluet Tengah,1101,KABUPATEN ACEH SELATAN,11,ACEH
110114,Kluet Timur,1101,KABUPATEN ACEH SELATAN,11,ACEH
110115,Bakongan Timur,1101,KABUPATEN ACEH SELATAN,11,ACEH
110116,Trumon Timur,1101,KABUPATEN ACEH SELATAN,11,ACEH
110117,Kota Bahagia,1101,KABUPATEN ACEH SELATAN,11,ACEH
110118,Trumon Tengah,1101,KABUPATEN ACEH SELATAN,11,ACEH
110201,Lawe Alas,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110202,Lawe Sigala-Gala,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110203,Bambel,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110204,Babussalam,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110205,Badar,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110206,Babul Makmur,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110207,Darul Hasanah,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110208,Lawe Bulan,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110209,Bukit Tusam,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110210,Semadam,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110211,Babul Rahmah,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110212,Ketambe,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110213,Deleng Pokhkisen,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110214,Lawe Sumur,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110215,Tanoh Alas,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110216,Leuser,1102,KABUPATEN ACEH TENGGARA,11,ACEH
110301,Darul Aman,1103,KABUPATEN ACEH TIMUR,11,ACEH
110302,Julok,1103,KABUPATEN ACEH TIMUR,11,ACEH
110303,Idi Rayeuk,1103,KABUPATEN ACEH TIMUR,11,ACEH
110304,Birem Bayeun,1103,KABUPATEN ACEH TIMUR,11,ACEH
110305,Serbajadi,1103,KABUPATEN ACEH TIMUR,11,ACEH
110306,Nurussalam,1103,KABUPATEN ACEH TIMUR,11,ACEH
110307,Peureulak,1103,KABUPATEN ACEH TIMUR,11,ACEH
110308,Rantau Selamat,1103,KABUPATEN ACEH TIMUR,11,ACEH
110309,Simpang Ulim,1103,KABUPATEN ACEH TIMUR,11,ACEH
110310,Rantau Peureulak,1103,KABUPATEN ACEH TIMUR,11,ACEH
110311,Pante Bidari,1103,KABUPATEN ACEH TIMUR,11,ACEH
110312,Madat,1103,KABUPATEN ACEH TIMUR,11,ACEH
110313,Indra Makmu,1103,KABUPATEN ACEH TIMUR,11,ACEH
110314,Idi Tunong,1103,KABUPATEN ACEH TIMUR,11,ACEH
110315,Banda Alam,1103,KABUPATEN ACEH TIMUR,11,ACEH
110316,Peudawa,1103,KABUPATEN ACEH TIMUR,11,ACEH
110317,Peureulak Timur,1103,KABUPATEN ACEH TIMUR,11,ACEH
110318,Peureulak Barat,1103,KABUPATEN ACEH TIMUR,11,ACEH
110319,Sungai Raya,1103,KABUPATEN ACEH TIMUR,11,ACEH
110320,Simpang Jernih,1103,KABUPATEN ACEH TIMUR,11,ACEH
110321,Darul Ihsan,1103,KABUPATEN ACEH TIMUR,11,ACEH
110322,Darul Falah,1103,KABUPATEN ACEH TIMUR,11,ACEH
110323,Idi Timur,1103,KABUPATEN ACEH TIMUR,11,ACEH
110324,Peunaron,1103,KABUPATEN ACEH TIMUR,11,ACEH
110401,Linge,1104,KABUPATEN ACEH TENGAH,11,ACEH
110402,Silih Nara,1104,KABUPATEN ACEH TENGAH,11,ACEH
110403,Bebesen,1104,KABUPATEN ACEH TENGAH,11,ACEH
110407,Pegasing,1104,KABUPATEN ACEH TENGAH,11,ACEH
110408,Bintang,1104,KABUPATEN ACEH TENGAH,11,ACEH
110410,Ketol,1104,KABUPATEN ACEH TENGAH,11,ACEH
110411,Kebayakan,1104,KABUPATEN ACEH TENGAH,11,ACEH
110412,Kute Panang,1104,KABUPATEN ACEH TENGAH,11,ACEH
110413,Celala,1104,KABUPATEN ACEH TENGAH,11,ACEH
110417,Laut Tawar,1104,KABUPATEN ACEH TENGAH,11,ACEH
110418,Atu Lintang,1104,KABUPATEN ACEH TENGAH,11,ACEH
110419,Jagong Jeget,1104,KABUPATEN ACEH TENGAH,11,ACEH
110420,Bies,1104,KABUPATEN ACEH TENGAH,11,ACEH
110421,Rusip Antara,1104,KABUPATEN ACEH TENGAH,11,ACEH
110501,Johan Pahwalan,1105,KABUPATEN ACEH BARAT,11,ACEH
110502,Kaway XVI,1105,KABUPATEN ACEH BARAT,11,ACEH
110503,Sungai Mas,1105,KABUPATEN ACEH BARAT,11,ACEH
110504,Woyla,1105,KABUPATEN ACEH BARAT,11,ACEH
110505,Samatiga,1105,KABUPATEN ACEH BARAT,11,ACEH
110506,Bubon,1105,KABUPATEN ACEH BARAT,11,ACEH
110507,Arongan Lambalek,1105,KABUPATEN ACEH BARAT,11,ACEH
110508,Pante Ceureumen,1105,KABUPATEN ACEH BARAT,11,ACEH
110509,Meureubo,1105,KABUPATEN ACEH BARAT,11,ACEH
110510,Woyla Barat,1105,KABUPATEN ACEH BARAT,11,ACEH
110511,Woyla Timur,1105,KABUPATEN ACEH BARAT,11,ACEH
